ADDRESS,TRANSACTION,TYPE,LATITUDE,LONGITUDE
2070 Venice Boulevard,Sold,Owner/User,34.0434555,-118.3024837
5222 Venice Boulevard,Sold,Owner/User,34.0441631,-118.3551031
5308 Venice Boulevard,Sold,Owner/User,34.0442089,-118.3558365
5310 Venice Boulevard,Sold,Owner/User,34.044079,-118.355963
5314 Venice Boulevard,Sold,Owner/User,34.0441872,-118.355897
5318 Venice Boulevard,Sold,Owner/User,34.0442471,-118.356183
5320 Venice Boulevard,Sold,Owner/User,34.0441329,-118.3562445
5324 Venice Boulevard,Sold,Owner/User,34.044026,-118.356321
5521 Venice Boulevard,Sold,Owner/User,34.0442508,-118.3592752
5527 Venice Boulevard,Sold,Owner/User,34.044286,-118.359374
5527-31 Venice Boulevard,Sold,Owner/User,34.044286,-118.359374
5531 Venice Boulevard,Sold,Owner/User,34.0441822,-118.3595491
5794 Venice Boulevard,Sold,Owner/User,34.0418716,-118.3654905
5951-53 Venice Boulevard,Sold,Owner/User,34.0389707,-118.3713843
6029 Venice Boulevard,Sold,Investment,34.0370481,-118.3755169
6031 Venice Boulevard,Sold,Investment,34.0369487,-118.375665
6118 Venice Boulevard,Sold,Investment,34.0354337,-118.3768899
8520 Venice Boulevard,Sold,Owner/User,34.0342651,-118.3788597
8555 Venice Boulevard,Sold,Owner/User,34.0350282,-118.3789881
8560 Venice Boulevard,Sold,Owner/User,34.0339385,-118.3795336
8584-92 Venice Boulevard,Sold,Investment,34.0337221,-118.3799096
8687 Venice Boulevard,Sold,Owner/User,34.0331515,-118.3822262
8707 Venice Boulevard,Sold,Owner/User,34.0328086,-118.3827968
8711 Venice Boulevard,Sold,Owner/User,34.0326985,-118.3828767
8713 Venice Boulevard,Sold,Owner/User,34.0327328,-118.3829674
8717 Venice Boulevard,Sold,Owner/User,34.0326928,-118.3830593
8717-19 Venice Boulevard,Sold,Owner/User,34.0326928,-118.3830593
8719 Venice Boulevard,Sold,Owner/User,34.0326605,-118.3830951
8727 Venice Boulevard,Sold,Owner/User,34.0325905,-118.3833406
8757 Venice Boulevard,Sold,Owner/User,34.0320623,-118.3841788
8761 Venice Boulevard,Sold,Owner/User,34.031951,-118.3843032
9431-43 Venice Boulevard,Sold,Investment,34.0254442,-118.3959889
9602 Venice Boulevard,Sold,Investment,34.0246262,-118.3959314
9636 Venice Boulevard,Sold,Owner/User,34.024296,-118.3964906
9736 Venice Boulevard,Sold,Owner/User,34.0237171,-118.3974833
10000 Venice Boulevard,Sold,Owner/User,34.0225507,-118.3995829
10200 Venice Boulevard,Sold,Investment,34.0209584,-118.4020248
10217-27 Venice Boulevard,Sold,Investment,34.0216599,-118.4024593
10429-45 Venice Boulevard,Sold,Investment,34.020353,-118.4049573
10530 Venice Boulevard,Sold,Owner/User,34.0192557,-118.4053452
10602 Venice Boulevard,Sold,Owner/User,34.0189026,-118.4058359
10626 Venice Boulevard,Sold,Owner/User,34.0187767,-118.4063379
10757-61 Venice Boulevard,Sold,Dev. Site,34.0181471,-118.4088482
10864 Venice Boulevard,Sold,Investment,34.0164379,-118.4104
10887 Venice Boulevard,Sold,Dev. Site,34.0165447,-118.4115694
10907-09 Venice Boulevard,Sold,Owner/User,34.0160774,-118.4121522
11221 Venice Boulevard,Sold,Owner/User,34.012885,-118.417973
11309 Venice Boulevard,Sold,Owner/User,34.0115576,-118.4202465
